datetime,platform,username,candidate_name,text,comment_count,view_count,like_count,url,num_interaction
2024-06-01 10:23:51,instagram,Maria Hinojosa,Claudia Sheinbaum,Just the three of us. Three Mexicanas. One will be the next president. And even though Mexico has so many problems… I’m loving this moment and I’m actually loving this photograph. 🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽,31,0,1038,https://www.instagram.com/p/C7q2tL5OtoE/,1069
2024-06-01 10:25:53,instagram,klima.neutral,Claudia Sheinbaum,"👩‍🔬Wusstet ihr, dass in Mexiko bald eine Klimawissenschaftlerin Präsidentin werden könnte? 

☝️Das klingt nach einer tollen Nachricht fürs Klima. Aber warum das nicht unbedingt so ist, seht ihr im Post. 

🌊Mexiko ist stark von der Klimakrise betroffen. Der steigende Meeresspiegel macht den Küstenregionen zu schaffen. Stürme und Trockenheit, aber auch Hitze gefährden Menschenleben und Ernten. 

Übrigens ist es sehr wahrscheinlich, dass Mexiko nach der Wahl zum ersten Mal von einer Frau geführt wird. Zwei der drei Kandidat:innen sind weiblich und Claudia Sheinbaum ist in den Umfragen weit vorn. 

#ClaudiaSheinbaum #Sheinbaum #Mexiko #PräsidentschaftsWahl #KlimaNeutral",14,0,1363,https://www.instagram.com/p/C7q28B1gFf1/,1377
2024-06-01 10:30:13,instagram,M Le magazine du Monde,Claudia Sheinbaum,"Le 2 juin, Claudia Sheinbaum devrait remporter une élection historique : celle qui verra s’affronter, pour la première fois dans le pays, deux femmes lors d’un scrutin présidentiel. L’ancienne maire de gauche de Mexico jouit de plus de vingt points d’avance dans les sondages sur sa principale concurrente, la sénatrice de droite Xóchitl Gálvez. Les Mexicaines, et même les Mexicains, en tirent une certaine fierté, alors que deux hommes s’apprêtent à s’affronter plus au nord, aux États-Unis. Le sujet du droit des femmes a d’ailleurs occupé une large part de la campagne. À 61 ans, Claudia Sheinbaum est portée par ses actions en faveur de celui-ci, dans un pays où le nombre de féminicides bat des records. Nous l’avons rencontrée, découvrez notre article sur lemonde.fr

_
📷 @_paufi #PourMLeMagazineDuMonde
✏️ @annevigna 
#mlemag #mlemonde #politics #feminisme #feminism #feminicide #mexique #mexico #claudiasheinbaum @claudia_shein",51,0,391,https://www.instagram.com/p/C7q3bzpBF1E/,442
2024-06-01 12:47:17,instagram,Elvis Martinez,Xóchitl Gálvez,"Solo quieren llegar a destruir México a ellos no les importa más que su bolcillo 🐀🐀🐀
#VOTOMASIVOPARAMORENA #ClaudiaSheinbaumPresidenta2024 #MUERAELPRIAN",1,0,0,https://www.instagram.com/tv/C7rHHYoJrGE/,1
2024-06-01 13:45:06,instagram,Periódico El Día,Claudia Sheinbaum,"Sacudida por una serie de ataques y asesinatos de candidatos, el miércoles llegó a su fin la campaña oficial de las elecciones generales de México, que se perfilan como históricas por sus dimensiones y porque posiblemente llevarán por primera vez a una mujer a la presidencia.

“Este 2 de junio una vez más vamos a hacer historia”, afirmó la candidata Claudia Sheinbaum ante una multitud, que al grito de “¡Presidenta, presidenta!” la recibió en la plaza principal de la Ciudad de México, el escenario para el cierre de la campaña oficialista del partido Morena.

“No los voy a defraudar”, dijo Sheinbaum al comprometerse al darle continuidad al proyecto político de su mentor, el presidente Andrés Manuel López Obrador.

“En México quedó atrás el neoliberalismo”, aseguró la exalcaldesa capitalina, al descartar el retorno de los partidos tradicionales. “México ha cambiado para siempre”.
#PeriódicoElDía  #ClaudiaSheinbaum #eleccionesenMéxico #Mexicanos #méxico #voto 
Más en eldia.com.do",1,0,3,https://www.instagram.com/p/C7rNvM4hnXx/,4
2024-06-01 14:04:37,instagram,Saúl Gallo,Xóchitl Gálvez,,0,0,1,https://www.instagram.com/p/C7rP-CPRaF8/,1
2024-06-01 14:22:29,instagram,Memazapanes Laboristas de la Rosita,Claudia Sheinbaum,"Parte 2 de apodos 
#LaPoliticaEnMemes #Memes #Mexico #EsClaudia #XochitlVa #Sheinbaum #Samuel #NuevoLeon #claudio #maynez #alvarez #morena #mc #movimientociudadano #pri #pan #prd #morena #pvem #pt",14,0,1055,https://www.instagram.com/p/C7rSA74ui0R/,1069
2024-06-01 14:22:29,instagram,Anarcomemes Ⓐ🏴,Claudia Sheinbaum,"Parte 2 de apodos 
#LaPoliticaEnMemes #Memes #Mexico #EsClaudia #XochitlVa #Sheinbaum #Samuel #NuevoLeon #claudio #maynez #alvarez #morena #mc #movimientociudadano #pri #pan #prd #morena #pvem #pt",13,0,978,https://www.instagram.com/p/C7rSA74ui0R/,991
2024-06-01 14:22:29,instagram,Memazapanes Laboristas de la Rosita,Xóchitl Gálvez,"Parte 2 de apodos 
#LaPoliticaEnMemes #Memes #Mexico #EsClaudia #XochitlVa #Sheinbaum #Samuel #NuevoLeon #claudio #maynez #alvarez #morena #mc #movimientociudadano #pri #pan #prd #morena #pvem #pt",14,0,1055,https://www.instagram.com/p/C7rSA74ui0R/,1069
2024-06-01 14:22:29,instagram,Anarcomemes Ⓐ🏴,Xóchitl Gálvez,"Parte 2 de apodos 
#LaPoliticaEnMemes #Memes #Mexico #EsClaudia #XochitlVa #Sheinbaum #Samuel #NuevoLeon #claudio #maynez #alvarez #morena #mc #movimientociudadano #pri #pan #prd #morena #pvem #pt",13,0,978,https://www.instagram.com/p/C7rSA74ui0R/,991
